Tree Ref.,Nut no.,nearclump,farclump,nearspace,farspace
1,1,1,7,7,60
,2,8,60,60,60
,3,10,60,60,60
,4,60,60,60,60
,5,60,60,60,60
,6,60,60,60,60
3,1,3,6,3,60
,2,3,60,3,60
,3,3,60,4,60
,4,4,60,60,60
,5,60,60,60,60
,6,60,60,60,60
4,1,1,1,1,60
,2,1,1,1,60
,3,1,60,60,60
,4,60,60,60,60
,5,60,60,60,60
,6,60,60,60,60
5,1,1,60,60,60
,2,1,60,60,60
,3,6,60,60,60
,4,60,60,60,60
,5,60,60,60,60
,6,60,60,60,60
6,1,1,60,60,60
,2,1,60,60,60
,3,3,60,60,60
,4,3,60,60,60
,5,60,60,60,60
,6,60,60,60,60
7,1,5,60,3,60
,2,60,60,60,60
,3,60,60,60,60
,4,60,60,60,60
,5,60,60,60,60
,6,60,60,60,60
